image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_WT_2,WT,1400,2000,0.0653,431100.7,53629.5,71506.0,1.143,1.353,12.44,1
F_WT_2,WT,1400,2200,0.2743,535301.3,68052.5,65925.9,0.939,1.905,12.71,1
F_WT_2,WT,1400,2400,0.268,499315.0,58779.8,84904.2,1.393,1.937,11.77,1
F_WT_2,WT,1400,2600,0.2574,539688.7,74815.1,97486.3,1.265,1.695,13.86,1
F_WT_2,WT,1400,2800,0.3788,490966.4,66226.1,67766.2,1.0,2.145,13.49,0
F_WT_2,WT,1400,3000,0.1735,521788.2,71899.6,80358.4,1.056,2.339,13.78,1
F_WT_2,WT,1600,0,0.2742,550469.2,70204.8,59567.7,0.824,1.921,12.75,1
F_WT_2,WT,1600,200,0.212,596529.2,52296.0,85325.0,1.55,1.687,8.77,1
F_WT_2,WT,1600,400,0.1974,645386.6,79792.3,85702.8,1.036,1.502,12.36,2
F_WT_2,WT,1600,600,0.1547,651307.1,94316.9,109407.6,1.115,1.387,14.48,2
F_WT_2,WT,1600,800,0.2106,622289.7,88663.0,63726.5,0.697,1.506,14.25,1
F_WT_2,WT,1600,1000,0.1943,638280.3,81065.2,87070.0,1.036,1.592,12.7,2
F_WT_2,WT,1600,1200,0.1598,621053.3,69349.0,69349.0,0.95,1.558,11.17,1
F_WT_2,WT,1600,1400,0.1372,697173.3,63787.6,106312.7,1.562,1.381,9.15,2
F_WT_2,WT,1600,1600,0.1251,679785.4,65306.6,79300.8,1.133,1.233,9.61,2
F_WT_2,WT,1600,1800,0.119,741187.5,78479.3,156958.5,1.882,1.229,10.59,2
F_WT_2,WT,1600,2000,0.0966,636370.9,54358.2,114756.1,1.9,1.317,8.54,3
F_WT_2,WT,1600,2200,0.2223,581796.1,76104.3,78728.6,1.0,1.573,13.08,1
F_WT_2,WT,1600,2400,0.1693,541365.2,62022.7,86142.7,1.316,1.567,11.46,1
F_WT_2,WT,1600,2600,0.19,625005.6,79860.7,104433.3,1.259,1.538,12.78,2
